,in,non,et,est
Gratian0,20.527045769764214,6.65742024965326,19.41747572815534,3.6061026352288486
Gratian1,25.567330241743516,23.980392502600814,22.799005519016802,17.01549909191896
dePen,24.99752008729293,26.78305723638528,25.791092153556193,18.053764507489337
Gratian2,28.831988775868115,21.46615222728867,24.202034373903896,11.715187653454928
