,Gratian0,Gratian1,dePen,Gratian2,mean,std
in,20.527045769764214,25.567330241743516,24.99752008729293,28.831988775868115,26.465613034968186,2.0690508725907426
non,6.65742024965326,23.980392502600814,26.78305723638528,21.46615222728867,24.076533988758257,2.6597560241419833
et,19.41747572815534,22.799005519016802,25.791092153556193,24.202034373903896,24.2640440154923,1.497006848309237
est,3.6061026352288486,17.01549909191896,18.053764507489337,11.715187653454928,15.594817084287742,3.3997267770705473
