,Gratian0,Gratian1,dePen,Gratian2
Gratian0,,3.7880369121972324,4.5586475554602455,3.7907233390230823
Gratian1,1.4361322739488562,,0.36276601666927066,0.5453257688200616
dePen,1.987308208259722,0.4514692550064589,,0.7672808920392027
Gratian2,1.7184893771121676,0.6277765855821402,0.7904560771321352,
