,Gratian0,Gratian1,dePen,Gratian2
in,-2.870189101618391,-0.4341521057430036,-0.7095489855389574,1.1437010912819627
non,-6.549139688375842,-0.03614673123579335,1.0175832757066976,-0.981436544470907
et,-3.237505755441811,-0.9786451532470637,1.0200675700238686,-0.04142241677680966
est,-3.526375863471371,0.4178812301073743,0.7232779527419564,-1.1411591828493306
