,Gratian0,Gratian1,dePen,Gratian2
Gratian0,,3.7870825924138742,4.54819908193029,3.7863551467454863
Gratian1,1.4397470876402585,,0.35894332284182573,0.5486849685416523
dePen,1.9800015811392637,0.44572269950080645,,0.762058096218929
Gratian2,1.7221751707509894,0.6313943206230832,0.7888802410102747,
